image_id,Narrow_Eyes,Eyeglasses,High_Cheekbones,Rosy_Cheeks,Pointy_Nose,Big_Nose,Big_Lips,Pale_Skin,Oval_Face,Arched_Eyebrows,lefteye_x,lefteye_y,righteye_x,righteye_y,nose_x,nose_y,leftmouth_x,leftmouth_y,rightmouth_x,rightmouth_y
000019.jpg,0,0,0,0,0,0,0,1,1,1,68,111,108,112,88,134,73,152,104,151
000021.jpg,0,0,0,0,0,1,0,0,0,0,70,111,107,111,87,138,73,151,104,154
000022.jpg,0,0,0,1,0,0,1,0,0,1,70,111,107,111,85,132,74,153,103,153
000026.jpg,0,0,0,0,0,0,1,0,0,0,69,111,108,111,85,135,73,152,103,152
000032.jpg,0,0,0,0,0,1,0,0,0,0,72,111,106,110,88,133,75,153,101,155
000037.jpg,0,0,0,0,0,1,1,0,0,0,72,110,105,110,94,132,76,155,101,155
000040.jpg,0,0,0,0,0,0,0,0,1,0,69,112,108,111,89,139,73,152,103,152
000051.jpg,0,0,0,0,0,1,0,0,0,0,67,113,110,112,83,140,69,148,107,152
000056.jpg,0,0,0,0,0,0,1,0,0,1,69,111,107,111,97,133,74,152,103,152
000078.jpg,1,0,1,0,1,0,1,0,0,1,66,112,111,113,90,126,70,149,107,150
000080.jpg,0,0,0,0,1,0,0,0,0,0,69,110,107,112,92,137,73,153,105,152
000081.jpg,0,0,1,0,0,1,0,0,1,0,69,112,108,111,95,136,68,153,109,150
000085.jpg,0,0,1,1,0,0,0,0,0,1,68,111,108,112,85,139,72,150,107,152
000087.jpg,0,0,1,0,1,0,1,0,0,1,69,112,108,112,93,140,66,152,111,151
000091.jpg,1,0,0,0,0,0,0,0,0,0,69,111,108,111,88,139,73,152,104,152
000093.jpg,0,1,0,0,0,0,1,0,0,0,66,112,111,113,87,126,72,148,105,150
000094.jpg,0,0,1,0,1,0,0,0,0,1,68,111,108,112,92,134,69,150,109,153
000118.jpg,0,0,1,0,1,0,0,0,1,0,69,113,109,111,97,143,69,153,107,150
000119.jpg,0,1,0,0,1,0,0,0,0,0,70,111,107,110,91,137,74,152,102,153
000120.jpg,0,0,0,0,1,0,0,0,0,0,75,109,103,108,120,136,69,153,106,161
000122.jpg,0,0,1,0,0,1,1,1,0,1,68,112,109,112,86,137,67,151,110,151
000124.jpg,0,0,0,0,1,0,0,0,0,0,71,111,107,110,96,137,74,154,102,152
000130.jpg,0,0,1,0,1,0,0,0,0,0,70,111,107,111,87,139,73,154,103,152
000131.jpg,0,0,1,0,0,0,1,0,0,0,69,111,108,112,76,138,68,150,110,153
000140.jpg,0,0,0,0,0,0,0,0,0,1,70,111,107,111,93,134,72,152,104,153
000141.jpg,0,0,1,0,1,0,0,0,1,1,70,111,107,111,88,133,74,152,103,153
000142.jpg,1,0,0,0,0,0,0,0,0,1,70,111,107,111,90,137,74,153,102,153
000143.jpg,0,0,0,0,1,0,0,0,0,0,69,112,109,111,84,134,69,152,108,151
000144.jpg,0,1,0,0,0,0,0,0,0,0,72,109,105,111,76,133,77,154,101,155
000154.jpg,0,1,0,0,0,0,0,0,0,0,71,110,106,111,87,129,74,153,103,154
000156.jpg,0,0,1,0,0,0,0,0,1,0,68,111,108,112,81,136,69,151,109,152
000169.jpg,0,0,1,0,0,0,1,0,1,0,69,110,107,112,93,122,75,152,105,153
000178.jpg,0,0,1,1,1,0,0,0,0,0,67,111,109,113,87,144,67,151,111,150
000182.jpg,0,0,0,0,0,1,1,0,1,0,70,111,107,111,90,130,71,153,106,152
000187.jpg,0,0,1,0,0,0,0,0,0,0,69,111,108,111,79,136,67,151,110,153
000190.jpg,0,0,0,0,0,0,0,0,0,1,70,112,108,111,85,133,73,153,103,151
000193.jpg,0,1,0,0,0,0,0,0,1,0,70,111,107,111,93,128,73,153,104,153
000194.jpg,0,0,1,0,0,0,0,0,1,0,69,111,108,111,78,135,67,152,109,152
000196.jpg,0,0,1,0,0,1,0,0,0,1,69,111,108,112,84,135,70,152,108,151
000197.jpg,1,0,1,0,1,0,0,1,0,0,70,111,107,111,79,137,73,152,105,153
000209.jpg,0,0,1,0,1,1,0,0,0,0,69,112,108,111,92,142,65,152,110,151
000218.jpg,0,0,1,0,0,0,0,0,0,0,69,112,108,111,95,133,70,152,106,151
000219.jpg,0,0,0,0,1,0,0,0,0,0,68,110,107,113,82,141,74,151,106,153
000222.jpg,0,0,0,0,0,0,0,0,1,1,67,112,110,112,85,136,71,150,105,150
000224.jpg,0,0,0,0,1,1,0,0,0,0,69,112,108,111,86,145,73,151,104,153
000225.jpg,0,0,1,0,0,0,0,1,0,1,65,111,110,114,85,145,68,148,112,150
000230.jpg,0,0,1,0,0,0,0,0,1,0,70,111,107,111,97,134,69,152,107,153
000231.jpg,0,0,0,0,1,0,1,1,0,1,69,112,108,111,85,125,73,152,104,151
000234.jpg,0,1,0,0,1,1,0,0,0,0,71,109,105,112,86,138,73,153,107,155
000241.jpg,1,0,1,0,0,0,0,0,0,0,69,112,108,111,96,132,69,153,108,150
000244.jpg,0,0,0,0,1,1,1,0,0,0,70,111,107,111,93,137,74,152,103,153
000245.jpg,0,0,1,0,0,0,0,0,0,0,73,109,104,110,69,134,73,156,105,155
000246.jpg,0,0,0,0,0,0,0,1,0,1,73,109,104,110,75,136,78,155,100,156
000247.jpg,1,0,1,0,0,0,0,0,1,0,67,111,109,112,83,139,67,150,110,151
000250.jpg,0,0,0,0,0,1,1,0,0,1,70,111,107,111,87,130,73,152,104,153
000253.jpg,0,0,0,0,1,0,0,0,1,0,72,110,106,110,98,135,76,154,100,154
000255.jpg,0,0,0,0,0,0,0,1,0,1,69,112,108,111,90,135,74,151,103,153
000256.jpg,0,0,1,0,0,0,1,0,0,0,69,111,107,112,99,136,72,152,106,153
000269.jpg,0,0,1,0,1,0,1,0,1,1,68,111,109,112,82,137,69,150,108,152
000279.jpg,0,0,0,0,1,0,1,0,0,0,69,110,107,112,79,139,73,153,106,152
000281.jpg,0,0,0,0,1,0,1,0,0,0,71,110,106,111,78,133,75,153,102,154
000283.jpg,0,0,0,0,0,0,0,0,1,0,74,110,104,109,105,132,74,155,101,158
000284.jpg,0,0,1,0,0,1,1,0,0,0,67,112,110,112,91,131,69,150,108,150
000285.jpg,0,0,1,0,1,0,1,0,1,1,69,111,108,112,91,139,72,152,105,151
000287.jpg,0,0,0,0,1,0,0,0,0,0,70,111,107,111,93,135,75,153,102,152
000291.jpg,0,0,1,0,0,0,0,0,0,0,70,111,107,111,87,134,72,154,105,153
000295.jpg,0,0,1,0,0,0,0,0,0,0,69,109,106,112,76,130,75,151,105,154
000296.jpg,0,0,1,1,0,0,0,0,1,0,69,111,108,111,83,135,68,151,108,152
000297.jpg,0,0,0,0,1,0,0,0,1,0,70,111,107,111,91,137,74,153,103,153
000318.jpg,0,0,1,0,1,0,0,0,0,0,69,111,107,112,84,140,71,152,107,152
000319.jpg,1,0,0,0,0,0,1,0,0,0,73,109,103,110,100,135,77,156,101,155
000321.jpg,1,0,0,0,0,0,1,0,0,0,67,111,109,113,78,130,71,150,109,151
000327.jpg,0,0,1,0,0,0,1,0,0,0,68,112,109,112,92,142,70,152,107,150
000330.jpg,0,1,0,0,0,0,0,0,0,0,69,112,108,111,87,140,71,152,106,152
000331.jpg,1,0,0,0,0,0,1,0,0,0,70,111,107,111,87,134,73,153,103,153
000332.jpg,0,0,0,0,0,0,1,0,0,1,70,111,107,111,91,132,73,152,104,152
000336.jpg,0,0,1,0,0,1,1,0,1,0,67,113,110,112,88,129,67,150,109,150
000341.jpg,0,0,1,0,1,0,0,0,1,0,69,110,107,112,74,139,69,150,110,155
000342.jpg,0,0,0,0,0,0,1,0,0,1,70,112,108,110,94,137,74,154,101,151
000343.jpg,1,0,0,0,1,0,0,0,0,0,71,111,107,110,94,136,73,153,103,153
000346.jpg,0,0,0,0,0,1,0,0,0,0,72,111,106,110,91,138,73,154,103,154
000347.jpg,0,0,0,0,0,0,0,1,0,0,70,113,109,109,93,138,73,153,100,151
000352.jpg,0,0,0,0,0,1,0,0,0,0,68,111,108,112,90,134,67,150,110,152
000353.jpg,0,0,1,0,0,0,1,0,1,1,67,113,110,112,89,141,66,150,110,150
000354.jpg,0,0,1,1,0,0,1,0,0,1,67,112,110,113,84,133,66,150,112,150
000355.jpg,0,0,0,0,0,1,1,0,1,1,70,111,107,111,88,132,74,152,103,152
000357.jpg,0,0,1,1,1,0,0,0,0,1,68,111,109,112,87,142,66,151,111,151
000379.jpg,0,0,0,0,0,1,1,0,0,0,69,110,106,112,100,130,76,153,103,152
000383.jpg,0,1,0,0,0,1,0,0,0,0,69,111,108,111,87,137,72,151,105,153
000385.jpg,0,0,0,0,0,1,0,0,1,0,71,109,105,112,104,131,69,153,110,155
000386.jpg,0,0,1,0,0,1,0,0,1,0,70,111,107,111,88,132,73,153,104,152
000391.jpg,0,0,1,0,0,0,0,1,0,1,67,112,110,112,82,135,67,149,110,151
